,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
2378,0.8,1.0,-3.2,0,6.794005439999999,5
2381,0.8,1.0,-3.1,0,5.8492287888888885,9
1895,0.3,1.0,-3.0,0,20.4700172,1
2385,0.8,1.0,-3.0,0,20.4467606,2
1894,0.3,1.0,-3.2,0,22.8450975,2
1893,0.3,1.0,-3.8,0,41.4921165,6
1892,0.3,1.0,-3.9,0,41.4921165,2
1890,0.3,0.9,-3.1,0,22.8450975,1
2426,0.8,1.1,-3.7,0,39.324583,1
2429,0.8,1.1,-3.4,0,7.153702025,4
2431,0.8,1.1,-3.3,0,17.9477196,3
2432,0.8,1.1,-3.2,0,16.5302897,2
2434,0.8,1.1,-3.0,0,26.04063855,4
2377,0.8,1.0,-3.3,0,14.40414485,4
1775,-0.2,1.1,-2.8,0,21.4769528,1
1922,0.4,1.0,-3.0,0,22.8450975,1
6065,1.3,1.2,-3.2,0,39.324583,1
5592,1.2,1.4,-2.8,0,9.8234594,1
1753,-0.3,1.1,-3.0,0,20.4700172,4
6599,1.4,1.2,-3.1,0,9.0027613,1
6614,1.4,1.2,-3.0,0,23.85751283125,16
1754,-0.3,1.1,-2.9,0,20.4700172,2
1755,-0.3,1.1,-2.8,0,21.4769528,2
6631,1.4,1.2,-2.9,0,5.8036658,2
1756,-0.3,1.1,-2.7,0,21.4769528,1
1757,-0.3,1.1,-2.6,0,21.4769528,1
5447,1.2,1.3,-3.4,0,9.0027613,1
5446,1.2,1.3,-3.6,0,9.0027613,1
1758,-0.3,1.2,-4.0,0,41.4921165,2
5390,1.2,1.2,-2.9,0,18.71909115,2
5366,1.2,1.2,-3.0,0,26.00344776,10
5343,1.2,1.2,-3.1,0,21.4769528,1
5328,1.2,1.2,-3.2,0,21.4769528,1
1054,-1.3,1.1,-4.5,0,2.2355074,1
5254,1.2,1.1,-2.9,0,18.71909115,2
1770,-0.2,1.0,-2.9,0,20.4700172,1
5623,1.2,1.5,-2.8,0,9.8234594,2
172,-1.6,1.1,-4.3,0,3.4730048,2
5796,1.3,0.9,-3.0,0,22.8450975,2
6545,1.4,1.1,-3.0,0,18.531038233333334,3
6298,1.3,1.5,-3.0,0,9.8234594,1
6278,1.3,1.4,-2.9,0,9.8234594,2
6262,1.3,1.4,-3.0,0,9.8234594,2
6200,1.3,1.3,-3.0,0,9.8234594,1
6167,1.3,1.3,-3.3,0,9.0027613,1
1728,-0.6,1.1,-2.8,0,20.4700172,1
1729,-0.6,1.1,-2.5,0,20.4700172,1
