,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
5651,1.2,1.2,-2.8,1,78.70704401764706,34
4835,1.1,1.1,-3.0,1,49.718845563636364,11
4290,1.0,1.2,-2.7,1,44.12193896,5
3807,1.0,0.7,-2.7,1,20.6969998,10
435,-1.3,1.2,-4.2,1,11.9872177,8
695,-1.2,1.0,-4.2,1,21.7635679,6
3399,0.9,0.9,-3.4,1,48.2198948,1
5570,1.2,1.1,-2.7,1,59.92442712380952,21
5591,1.2,1.1,-2.6,1,37.6965788,1
4447,1.0,1.6,-2.7,1,11.6193231,1
4443,1.0,1.6,-2.8,1,11.6193231,1
764,-1.2,1.1,-4.2,1,21.7635679,1
5609,1.2,1.2,-3.3,1,142.487658,2
4430,1.0,1.5,-2.8,1,48.2198948,1
5611,1.2,1.2,-3.2,1,88.19506875,4
779,-1.2,1.1,-4.1,1,17.98156301111111,9
673,-1.2,1.0,-4.4,1,11.9872177,1
5613,1.2,1.2,-3.1,1,47.475626812499996,8
5616,1.2,1.2,-3.0,1,142.487658,7
5547,1.2,1.1,-2.8,1,59.17709804117647,68
3400,0.9,0.9,-3.2,1,48.2198948,2
4843,1.1,1.1,-2.9,1,104.44667390000001,25
4373,1.0,1.3,-2.5,1,35.0974965,1
4363,1.0,1.3,-2.6,1,34.4544481,1
5630,1.2,1.2,-2.9,1,130.84420475555558,27
843,-1.2,1.2,-4.2,1,21.7635679,9
4326,1.0,1.3,-3.1,1,33.9024795,1
863,-1.2,1.2,-4.1,1,21.7635679,18
5528,1.2,1.1,-2.9,1,133.99946215555556,27
4322,1.0,1.3,-3.2,1,33.9024795,1
4314,1.0,1.2,-2.5,1,81.59232890000001,2
3401,0.9,0.9,-3.1,1,48.2198948,41
3403,0.9,0.9,-3.0,1,48.2198948,6
900,-1.2,1.3,-4.2,1,21.7635679,2
4162,1.0,1.1,-3.4,1,33.9024795,1
4259,1.0,1.2,-3.2,1,40.03851462857143,7
3601,0.9,1.1,-2.5,1,36.39703765,2
3590,0.9,1.1,-2.6,1,142.487658,1
4797,1.1,1.0,-2.6,1,23.71306759230769,13
3565,0.9,1.1,-3.0,1,47.6720656,4
543,-1.2,0.7,-4.4,1,11.9872177,2
3961,1.0,0.9,-3.4,1,48.2198948,1
3963,1.0,0.9,-3.1,1,48.2198948,2
5764,1.2,1.3,-2.6,1,19.5305092,1
1178,-1.1,1.2,-4.1,1,21.7635679,10
3974,1.0,0.9,-2.9,1,36.19006041666667,6
3563,0.9,1.1,-3.1,1,15.6515276,3
5752,1.2,1.3,-2.7,1,23.422256025,4
3988,1.0,0.9,-2.8,1,142.487658,1
4006,1.0,0.9,-2.7,1,19.070422819999997,5
3557,0.9,1.1,-3.5,1,33.9024795,3
4025,1.0,0.9,-2.6,1,33.7666269,3
3965,1.0,0.9,-3.0,1,48.2198948,1
564,-1.2,0.8,-4.4,1,11.9872177,17
4775,1.1,1.0,-2.7,1,28.745728385714283,14
5482,1.2,1.0,-2.6,1,33.6987006,1
3739,0.9,1.6,-2.9,1,11.6193231,1
5813,1.2,1.4,-2.7,1,34.4544481,1
4739,1.1,1.0,-2.9,1,142.487658,1
3725,0.9,1.4,-2.5,1,85.19233605000001,2
3686,0.9,1.3,-2.6,1,34.4544481,1
3671,0.9,1.3,-2.9,1,15.6515276,2
3662,0.9,1.3,-3.2,1,16.2745384,5
5770,1.2,1.4,-3.3,1,33.9024795,1
5796,1.2,1.4,-2.8,1,20.931841433333336,21
4754,1.1,1.0,-2.8,1,50.81514288,5
3656,0.9,1.2,-2.4,1,35.0974965,1
3649,0.9,1.2,-2.5,1,19.5305092,1
3636,0.9,1.2,-2.7,1,142.487658,4
3629,0.9,1.2,-2.8,1,142.487658,1
3626,0.9,1.2,-2.9,1,15.6515276,5
3898,1.0,0.8,-2.7,1,12.077491709090909,11
3660,0.9,1.3,-3.3,1,16.2745384,3
4832,1.1,1.1,-3.1,1,118.92071720000001,4
1115,-1.1,1.1,-4.1,1,21.7635679,11
3541,0.9,1.0,-2.4,1,35.0974965,1
4163,1.0,1.1,-3.3,1,33.9024795,2
4164,1.0,1.1,-3.2,1,42.850864062499994,24
5517,1.2,1.1,-3.0,1,142.487658,10
4166,1.0,1.1,-3.1,1,32.06517826666666,15
607,-1.2,0.9,-4.4,1,11.9872177,1
3453,0.9,0.9,-2.5,1,142.487658,1
3424,0.9,0.9,-2.7,1,13.6521379,1
451,-1.3,1.2,-4.1,1,11.9872177,3
4169,1.0,1.1,-3.0,1,66.22218724000001,5
4185,1.0,1.1,-2.8,1,76.9932335,16
4201,1.0,1.1,-2.7,1,40.24510381481482,27
4219,1.0,1.1,-2.6,1,35.925343514285714,7
5673,1.2,1.2,-2.7,1,107.55729826666668,6
4236,1.0,1.1,-2.5,1,65.70522123333335,3
4257,1.0,1.2,-3.5,1,33.9024795,1
4258,1.0,1.2,-3.3,1,142.487658,2
4175,1.0,1.1,-2.9,1,14.9305409,1
5735,1.2,1.3,-2.8,1,29.648767091666667,12
4732,1.1,1.0,-3.0,1,142.487658,5
5951,1.3,0.9,-2.8,1,13.6521379,2
3528,0.9,1.0,-2.5,1,142.487658,1
3511,0.9,1.0,-2.6,1,29.004160233333334,3
3487,0.9,1.0,-2.8,1,22.4210209,8
4069,1.0,1.0,-3.1,1,48.2198948,1
3481,0.9,1.0,-3.0,1,15.6515276,1
3477,0.9,1.0,-3.5,1,33.9024795,2
4074,1.0,1.0,-2.9,1,15.6515276,1
4161,1.0,1.1,-3.5,1,33.9024795,1
4082,1.0,1.0,-2.8,1,47.523979716666666,6
5716,1.2,1.3,-2.9,1,36.83021803333333,6
4117,1.0,1.0,-2.6,1,55.161758666666664,6
4675,1.1,0.9,-2.7,1,22.186209525000002,4
5702,1.2,1.3,-3.2,1,33.9024795,7
5701,1.2,1.3,-3.3,1,33.9024795,3
5700,1.2,1.3,-3.4,1,33.9024795,1
5460,1.2,1.0,-2.7,1,39.549377262,50
4100,1.0,1.0,-2.7,1,37.6965788,8
3624,0.9,1.2,-3.0,1,57.930237733333335,3
4945,1.1,1.2,-3.0,1,91.46481116,5
4858,1.1,1.1,-2.8,1,89.4620570735849,53
5274,1.2,0.8,-2.7,1,142.487658,7
2682,0.7,1.1,-2.5,1,17.23052505,2
2483,0.7,0.8,-2.6,1,20.6969998,1
6273,1.3,1.4,-2.9,1,34.4544481,77
3032,0.8,1.0,-2.6,1,30.05879985,2
2688,0.7,1.1,-2.4,1,142.487658,1
3019,0.8,1.0,-2.7,1,14.9305409,1
6131,1.3,1.1,-2.7,1,142.487658,13
3046,0.8,1.0,-2.5,1,27.8970141,1
419,-1.3,1.2,-4.3,1,11.9872177,1
3012,0.8,1.0,-2.8,1,52.437680175,4
6517,1.4,1.2,-3.0,1,142.487658,2
3008,0.8,1.0,-2.9,1,142.487658,1
2697,0.7,1.2,-3.0,1,16.2745384,2
3005,0.8,1.0,-3.5,1,33.9024795,2
6150,1.3,1.1,-2.6,1,142.487658,10
2467,0.7,0.8,-2.7,1,11.6193231,4
2208,0.6,0.8,-2.4,1,27.8970141,1
2167,0.6,0.8,-3.2,1,48.2198948,1
3057,0.8,1.0,-2.4,1,11.2155409,1
5147,1.1,1.5,-3.0,1,48.2198948,2
5360,1.2,0.9,-2.7,1,13.6521379,1
3086,0.8,1.1,-2.9,1,15.6515276,1
2526,0.7,0.9,-3.0,1,48.2198948,1
2524,0.7,0.9,-3.1,1,48.2198948,1
2831,0.8,0.8,-2.8,1,13.6521379,1
2522,0.7,0.9,-3.2,1,48.2198948,1
3084,0.8,1.1,-3.0,1,15.6515276,2
5116,1.1,1.4,-2.8,1,11.2155409,3
6108,1.3,1.1,-2.8,1,69.61576269642858,28
2091,0.5,1.1,-3.0,1,16.2745384,5
6352,1.4,0.9,-3.0,1,48.2198948,1
2093,0.5,1.1,-2.9,1,16.2745384,1
2099,0.5,1.1,-2.6,1,37.6965788,1
2663,0.7,1.1,-3.1,1,16.2745384,1
2670,0.7,1.1,-2.8,1,15.6515276,1
3078,0.8,1.1,-3.2,1,15.6515276,1
2105,0.5,1.2,-3.0,1,16.2745384,7
3074,0.8,1.1,-3.5,1,33.9024795,1
5132,1.1,1.4,-2.7,1,11.6193231,1
2677,0.7,1.1,-2.6,1,78.70909945000001,2
5339,1.2,0.9,-2.8,1,45.861017925,4
2216,0.6,0.8,-2.3,1,30.29733093333333,6
6154,1.3,1.2,-3.0,1,142.487658,2
2226,0.6,0.9,-3.2,1,48.2198948,3
2308,0.6,1.0,-2.4,1,67.81550125789474,19
6246,1.3,1.3,-2.8,1,34.4544481,2
2317,0.6,1.0,-2.3,1,142.487658,4
2783,0.8,0.7,-2.7,1,20.6969998,1
2325,0.6,1.1,-3.1,1,16.2745384,2
2871,0.8,0.8,-2.6,1,11.2155409,1
6204,1.3,1.2,-2.7,1,142.487658,41
2349,0.6,1.1,-2.4,1,142.487658,1
6233,1.3,1.3,-2.9,1,34.7759723,2
84,-1.4,0.9,-4.1,1,13.2540569,1
69,-1.4,0.8,-4.1,1,13.254056899999998,26
6220,1.3,1.2,-2.6,1,142.487658,37
2848,0.8,0.8,-2.7,1,11.56665585652174,23
2357,0.6,1.2,-3.0,1,16.2745384,3
2360,0.6,1.2,-2.8,1,34.4544481,2
2366,0.6,1.3,-3.1,1,16.2745384,6
2367,0.6,1.3,-3.0,1,16.2745384,1
2368,0.6,1.3,-2.8,1,34.4544481,2
2369,0.6,1.3,-2.7,1,34.4544481,1
6181,1.3,1.2,-2.8,1,111.80475471428572,14
2528,0.7,0.9,-2.9,1,30.93601635,4
2298,0.6,1.0,-2.5,1,52.30596546666667,9
2290,0.6,1.0,-2.6,1,38.4393100125,8
2953,0.8,0.9,-2.6,1,142.487658,1
2705,0.7,1.2,-2.5,1,31.9357112,2
2235,0.6,0.9,-2.7,1,48.2198948,1
2457,0.7,0.8,-2.8,1,12.974532966666667,3
6162,1.3,1.2,-2.9,1,142.487658,11
2714,0.7,1.3,-3.0,1,16.2745384,1
2716,0.7,1.3,-2.8,1,34.4544481,2
6260,1.3,1.3,-2.7,1,142.487658,1
2248,0.6,0.9,-2.5,1,26.710811833333334,3
6477,1.4,1.1,-2.9,1,33.6987006,4
2258,0.6,0.9,-2.4,1,30.15631772631579,19
2722,0.7,1.4,-2.8,1,34.4544481,3
2931,0.8,0.9,-2.8,1,13.6521379,2
2928,0.8,0.9,-2.9,1,48.2198948,25
2926,0.8,0.9,-3.0,1,48.2198948,2
2925,0.8,0.9,-3.2,1,48.2198948,1
2270,0.6,0.9,-2.3,1,39.76061195744681,47
6466,1.4,1.1,-3.0,1,15.6515276,3
2285,0.6,1.0,-2.7,1,25.476132479999997,5
104,-1.4,1.0,-4.1,1,13.2540569,1
3088,0.8,1.1,-2.8,1,66.38597976000001,5
2079,0.5,1.0,-2.4,1,62.443233266666674,3
6065,1.3,1.0,-2.6,1,142.487658,3
2601,0.7,1.0,-2.8,1,79.06959280000001,2
5401,1.2,1.0,-3.1,1,48.2198948,1
5004,1.1,1.2,-2.6,1,66.09405143333333,3
5019,1.1,1.3,-3.4,1,33.9024795,2
5020,1.1,1.3,-3.3,1,33.9024795,2
5021,1.1,1.3,-3.2,1,33.9024795,2
5022,1.1,1.3,-3.1,1,33.9024795,1
3330,0.9,0.8,-2.7,1,12.79578405,6
5290,1.2,0.8,-2.6,1,142.487658,2
3300,0.9,0.8,-2.9,1,142.487658,1
6029,1.3,1.0,-2.8,1,13.652137899999998,15
